season,week,team,conference,division,off_injury_adj,def_injury_adj
2026,12,ARI,NFC,NFC West,0,0
2026,12,ATL,NFC,NFC South,0,0
2026,12,BAL,AFC,AFC North,0,0
2026,12,BUF,AFC,AFC East,0,0
2026,12,CAR,NFC,NFC South,0,0
2026,12,CHI,NFC,NFC North,0,0
2026,12,CIN,AFC,AFC North,0,0
2026,12,CLE,AFC,AFC North,0,0
2026,12,DAL,NFC,NFC East,0,0
2026,12,DEN,AFC,AFC West,0,0
2026,12,DET,NFC,NFC North,0,0
2026,12,GB,NFC,NFC North,0,0
2026,12,HOU,AFC,AFC South,0,0
2026,12,IND,AFC,AFC South,0,0
2026,12,JAX,AFC,AFC South,0,0
2026,12,KC,AFC,AFC West,0,0
2026,12,LA,NFC,NFC West,0,0
2026,12,LAC,AFC,AFC West,0,0
2026,12,LV,AFC,AFC West,0,0
2026,12,MIA,AFC,AFC East,0,0
2026,12,MIN,NFC,NFC North,0,0
2026,12,NE,AFC,AFC East,0,0
2026,12,NO,NFC,NFC South,0,0
2026,12,NYG,NFC,NFC East,0,0
2026,12,NYJ,AFC,AFC East,0,0
2026,12,PHI,NFC,NFC East,0,0
2026,12,PIT,AFC,AFC North,0,0
2026,12,SEA,NFC,NFC West,0,0
2026,12,SF,NFC,NFC West,0,0
2026,12,TB,NFC,NFC South,0,0
2026,12,TEN,AFC,AFC South,0,0
2026,12,WAS,NFC,NFC East,0,0
2026,13,ARI,NFC,NFC West,0,0
2026,13,ATL,NFC,NFC South,0,0
2026,13,BAL,AFC,AFC North,0,0
2026,13,BUF,AFC,AFC East,0,0
2026,13,CAR,NFC,NFC South,0,0
2026,13,CHI,NFC,NFC North,0,0
2026,13,CIN,AFC,AFC North,0,0
2026,13,CLE,AFC,AFC North,0,0
2026,13,DAL,NFC,NFC East,0,0
2026,13,DEN,AFC,AFC West,0,0
2026,13,DET,NFC,NFC North,0,0
2026,13,GB,NFC,NFC North,0,0
2026,13,HOU,AFC,AFC South,0,0
2026,13,IND,AFC,AFC South,0,0
2026,13,JAX,AFC,AFC South,0,0
2026,13,KC,AFC,AFC West,0,0
2026,13,LA,NFC,NFC West,0,0
2026,13,LAC,AFC,AFC West,0,0
2026,13,LV,AFC,AFC West,0,0
2026,13,MIA,AFC,AFC East,0,0
2026,13,MIN,NFC,NFC North,0,0
2026,13,NE,AFC,AFC East,0,0
2026,13,NO,NFC,NFC South,0,0
2026,13,NYG,NFC,NFC East,0,0
2026,13,NYJ,AFC,AFC East,0,0
2026,13,PHI,NFC,NFC East,0,0
2026,13,PIT,AFC,AFC North,0,0
2026,13,SEA,NFC,NFC West,0,0
2026,13,SF,NFC,NFC West,0,0
2026,13,TB,NFC,NFC South,0,0
2026,13,TEN,AFC,AFC South,0,0
2026,13,WAS,NFC,NFC East,0,0
2026,14,ARI,NFC,NFC West,0,0
2026,14,ATL,NFC,NFC South,0,0
2026,14,BAL,AFC,AFC North,0,0
2026,14,BUF,AFC,AFC East,0,0
2026,14,CAR,NFC,NFC South,0,0
2026,14,CHI,NFC,NFC North,0,0
2026,14,CIN,AFC,AFC North,0,0
